Id,SalePrice
1461,119511.81
1462,144675.93
1463,168817.38
1464,182887.19
1465,198139.05
1466,171116.75
1467,177888.73
1468,159456.24
1469,212326.45
1470,118986.48
1471,179605.8
1472,97749.07
1473,88481.04
1474,142439.47
1475,112178.3
1476,350719.66
1477,254564.06
1478,322036.03
1479,304895.23
1480,441521.12
1481,318745.72
1482,219957.12
1483,175313.28
1484,162969.44
1485,202221.89
1486,201093.42
1487,325090.46
1488,234714.34
1489,190342.39
1490,247331.38
1491,198457.42
1492,95339.84
1493,218174.93
1494,302640.09
1495,287805.71
1496,233978.74
1497,180408.74
1498,155689.67
1499,157431.61
1500,147579.84
1501,187842.38
1502,145940.03
1503,263539.6
1504,242229.66
1505,224013.47
1506,182877.57
1507,245488.48
1508,189322.22
1509,161431.38
1510,140032.47
1511,139491.23
1512,178039.11
1513,166959.05
1514,145574.78
1515,195821.53
1516,166724.94
1517,166420.24
1518,120853.81
1519,206536.94
1520,121118.9
1521,120174.85
1522,195046.35
1523,100174.6
1524,124928.46
1525,111302.25
1526,100533.23
1527,99080.89
1528,147312.45
1529,151418.01
1530,213122.8
1531,121113.21
1532,107764.24
1533,153893.92
1534,126913.3
1535,153367.36
1536,95021.8
1537,42768.82
1538,157153.42
1539,214283.42
1540,134810.69
1541,132399.34
1542,147894.83
1543,174226.6
1544,96182.96
1545,134394.33
1546,142556.32
1547,136311.05
1548,150350.37
1549,125446.21
1550,140857.15
1551,119514.54
1552,148789.42
1553,153768.3
1554,121300.29
1555,151294.76
1556,91464.52
1557,95099.06
1558,100603.53
1559,90260.92
1560,144636.29
1561,111838.57
1562,126482.35
1563,121323.51
1564,142966.56
1565,144244.86
1566,249115.38
1567,82814.73
1568,225341.58
1569,106568.28
1570,143803.81
1571,94164.32
1572,147161.36
1573,239642.17
1574,124885.51
1575,241257.25
1576,230985.88
1577,180060.75
1578,148130.12
1579,131691.02
1580,190672.28
1581,161344.01
1582,139568.53
1583,270780.75
1584,228151.55
1585,147428.84
1586,42979.28
1587,118087.46
1588,160999.11
1589,111125.93
1590,132415.97
1591,89371.31
1592,120803.31
1593,139581.52
1594,142086.34
1595,121140.02
1596,225408.84
1597,191724.69
1598,225451.42
1599,207278.94
1600,174345.28
1601,39353.45
1602,121534.11
